f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,f_bathrooms_text,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_stove,d_hdtv,d_tv,d_conditioning,d_soundsystem,d_refrigerator,d_shampoo,d_soap,d_oven,d_toiletries,d_speaker,d_fan,d_heating,d_breakfast,d_table,d_dishwasher,d_dryer,d_elevator,d_fitness,d_parking,d_garage,d_wifi,d_game,d_garden,d_gym,d_restaurant,d_bar,d_washer,d_barbeque,d_bbq,price,id,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,property_type,ln_price
Entire apartment,Entire home/apt,Entire/Apt,Civic Center,1 bath,2,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150,8467950,Civic Center,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,4,NA,1,0.02,30,2,1822,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,8468662,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.0106352940962555
Private room in apartment,Private room,Private,Harlem,1.5 baths,1,100,1,0.04,30,1,710,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,8470281,Harlem,Manhattan,Private room,Private room in apartment,4.1588830833596715
Entire apartment,Entire home/apt,Entire/Apt,Chelsea,1 bath,2,96,7,0.11,7,0,1843,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,199,8470974,Chelsea,Manhattan,Entire home/apt,Entire apartment,5.293304824724492
Entire apartment,Entire home/apt,Entire/Apt,Harlem,1 bath,2,93,9,0.18,30,1,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,8474806,Harlem,Manhattan,Entire home/apt,Entire apartment,4.219507705176107
Entire apartment,Entire home/apt,Entire/Apt,Upper West Side,1 bath,2,97,39,0.62,5,1,1897,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,8480087,Upper West Side,Manhattan,Entire home/apt,Entire apartment,5.075173815233827
Entire apartment,Entire home/apt,Entire/Apt,East Village,1 bath,4,100,2,0.03,30,2,1900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,8481074,East Village,Manhattan,Entire home/apt,Entire apartment,5.521460917862246
Entire apartment,Entire home/apt,Entire/Apt,West Village,1 bath,2,100,1,0.02,30,1,1443,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,179,8482952,West Village,Manhattan,Entire home/apt,Entire apartment,5.187385805840755
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,2,100,2,0.03,30,1,1818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,8485571,Upper East Side,Manhattan,Entire home/apt,Entire apartment,4.941642422609304
Entire apartment,Entire home/apt,Entire/Apt,Gramercy,1 bath,2,80,2,0.03,30,1,1889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,8485671,Gramercy,Manhattan,Entire home/apt,Entire apartment,5.342334251964811
Entire apartment,Entire home/apt,Entire/Apt,Upper East Side,1 bath,3,100,1,0.02,30,1,1872,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,8488615,Upper East Side,Manhattan,Entire home/apt,Entire apartment,5.1647859739235145
Entire apartment,Entire home/apt,Entire/Apt,Hell's Kitchen,1 bath,2,NA,0,NA,30,1,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,8496270,Hell's Kitchen,Manhattan,Entire home/apt,Entire apartment,6.214608098422191
Entire apartment,Entire home/apt,Entire/Apt,Lower East Side,1 bath,4,85,4,0.06,30,2,1902,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,8498885,Lower East Side,Manhattan,Entire home/apt,Entire apartment,5.298317366548036
